id,idn,u0,u1,u2
1080,73874,0,0,0
1081,73875,0,0,0
1082,73876,0,0,0
1083,73877,0,0,0
1084,74154,0,0,0
1085,74155,0,0,0
1086,74156,0,0,0
1087,74157,0,0,0
1088,74158,0,0,0
1089,74159,0,0,0
1090,74160,0,0,0
1091,74161,0,0,0
1092,74162,0,0,0
1093,74163,0,0,0
1094,74168,0,0,0
1095,74169,0,0,0
1096,74170,0,0,0
1097,74171,0,0,0
1098,74172,0,0,0
1099,74173,0,0,0
1100,74174,0,0,0
1101,74175,0,0,0
1102,74176,0,0,0
1103,74179,0,0,0
1104,74180,0,0,0
1105,74181,0,0,0
1106,74184,0,0,0
1107,74277,0,0,0
1108,74279,0,0,0
1109,74280,0,0,0
1110,74281,0,0,0
1111,74282,0,0,0
1112,74305,0,0,0
1113,74306,0,0,0
1114,74311,0,0,0
1115,74312,0,0,0
1116,74313,0,0,0
1117,74488,0,0,0
1118,74489,0,0,0
1119,74490,0,0,0
1120,74553,0,0,0
1121,74554,0,0,0
1122,74556,0,0,0
1123,74557,0,0,0
1124,74558,0,0,0
1125,74622,0,0,0
1126,74623,0,0,0
1127,74625,0,0,0
1128,74636,0,0,0
1129,74637,0,0,0
1130,74638,0,0,0
1131,74639,0,0,0
1132,74645,0,0,0
1133,74649,0,0,0
1134,74650,0,0,0
1135,74651,0,0,0
1136,74652,0,0,0
1137,74653,0,0,0
1138,74654,0,0,0
1139,75937,0,0,0
1140,75938,0,0,0
1141,75941,0,0,0
1142,75942,0,0,0
1143,75943,0,0,0
1144,75944,0,0,0
1145,75945,0,0,0
1146,75977,0,0,0
1147,75978,0,0,0
1148,75979,0,0,0
1149,75982,0,0,0
1150,75983,0,0,0
1151,76823,0,0,0
1152,76824,0,0,0
1153,76825,0,0,0
1154,76939,0,0,0
1155,76940,0,0,0
1156,77018,0,0,0
1157,77019,0,0,0
1158,77020,0,0,0
1159,77021,0,0,0
1160,77022,0,0,0
1161,77023,0,0,0
1162,77024,0,0,0
1163,77997,0,0,0
1164,78051,0,0,0
1165,78052,0,0,0
1166,78053,0,0,0
1167,78060,0,0,0
1168,78105,0,0,0
1169,78106,0,0,0
1170,78107,0,0,0
1171,78108,0,0,0
1172,78110,0,0,0
1173,78125,0,0,0
1174,78128,0,0,0
1175,78129,0,0,0
1176,78130,0,0,0
1177,78131,0,0,0
1178,78132,0,0,0
1179,78133,0,0,0
1180,78140,0,0,0
1181,78141,0,0,0
1182,79078,0,0,0
1183,79081,0,0,0
1184,79082,0,0,0
1185,79099,0,0,0
1186,79100,0,0,0
1187,79103,0,0,0
1188,79131,0,0,0
1189,79132,0,0,0
1190,79133,0,0,0
1191,79200,0,0,0
1192,79203,0,0,0
1193,79218,0,0,0
1194,79219,0,0,0
1195,79230,0,0,0
1196,79438,0,0,0
1197,79471,0,0,0
1198,79483,0,0,0
1199,80023,0,0,0
1200,80026,0,0,0
1201,80037,0,0,0
1202,80038,0,0,0
1203,80047,0,0,0
1204,80048,0,0,0
1205,80433,0,0,0
1206,80434,0,0,0
1207,80435,0,0,0
1208,80456,0,0,0
1209,80457,0,0,0
1210,80471,0,0,0
1211,80472,0,0,0
1212,80500,0,0,0
1213,80501,0,0,0
1214,80534,0,0,0
1215,80598,0,0,0
1216,80762,0,0,0
1217,80766,0,0,0
1218,80770,0,0,0
1219,80774,0,0,0
1220,82092,0,0,0
1221,82093,0,0,0
1222,82094,0,0,0
1223,82259,0,0,0
1224,82260,0,0,0
1225,82261,0,0,0
1226,82262,0,0,0
1227,82268,0,0,0
1228,82751,0,0,0
